2023-03-02 17:14:07.090671

Network Edges:
ID			From			To			Length
-1028359465		9480961760		9480961757		224.06
-1058069942#0		7154206605		9722186847		218.19
-1058069942#1		9722186846		7154206605		182.44
-1072226221#0		7933382147		9838163242		43.99
-1072226221#1		7933382143		7933382147		11.11
-1072226222#0		9838163244		6984995933		304.19
-1072226222#1		9838163255		9838163244		105.85
-1072226222#2		9838163254		9838163255		6.47
-1072226222#3		2478523790		9838163254		114.53
-1098020203#0		9486103027		7097958260		819.69
-1098020203#1		9486103028		9486103027		5.05
-1098020203#2		5800236063		9486103028		785.31
-1098020203#3		5800236072		5800236063		666.25
-1103980862		10102383479		10102383478		105.97
-1103982939		10102605935		6450706972		130.57
-1103982940#0		10102605939		7933396714		124.63
-1103982940#1		10102424817		10102605939		74.63
-1103982940#2		10102605936		10102424817		135.78
-1103982941		10102424817		6450706972		83.5
-1103983852		10102403050		2478523739		300.24
-1103983853		9838163244		10102403050		157.19
-1103983854		10102403052		10102403050		163.04
-1103983855		10102403052		2478523712		322.28
-1103984862#0		10102443099		10102403050		138.63
-1103984862#1		10102443101		10102443099		28.75
-1103984862#2		2730580466		10102443101		109.18
-1103984863		10102443100		10102443099		234.47
-1103984864		10102443102		10102443101		236.07
-1103992824		2484585622		2478523705		161.3
-1103992825		10102517960		2484585622		54.43
-1104003563		10102605936		10102605935		81.64
-1104003564		10102605937		10102605935		74.24
-1104003565		10102605939		10102605938		87.77
-134557731		3684963096		2401503980		17.03
-134626495		1734799580		1144975815		971.87
-161503495#0		2401209419		2401209529		162.5
-161503495#1		1734799514		2401209419		85.01
-161503495#2		1734799679		1734799514		97.25
-161503495#3		1734799460		1734799679		53.69
-161503499#0		7154206603		1148784425		222.72
-161503499#1		2401239653		7154206603		162.36
-161503499#2		2733773962		2401239653		222.08
-161503499#3		2401503952		2733773962		106.18
-161503499#4		2733822610		2401503952		15.33
-161503499#5		2733822608		2733822610		5.13
-161503499#6		1734799743		2733822608		171.26
-161503502#0		1734799787		1734799706		121.8
-161503502#1		1734799459		1734799787		139.92
-161503508#0		1734799679		6046759215		83.17
-161503508#1		2401209132		1734799679		101.48
-161503508#2		2401209126		2401209132		127.14
-161503508#3		1734799703		2401209126		64.32
-161503516		838310065		1734799665		233.17
-161503536#0		2401209627		2401209668		279.76
-161503536#1		1734799665		2401209627		24.7
-161503537		1734799479		1734799552		351.4
-161503538		1734799643		1734799601		92.33
