date_time,vehicle_id,coord,gps_coord,spd,edge,lane,displacement,turn_angle,next_tls
2023-03-02 17:00:53.027,99,"[1702.4161468729517, 1933.1679119770063]","[114.3205645605719, 30.514039639501473]",90.54,231793617#2,231793617#2_0,1596.5,16.9,()
2023-03-02 17:00:53.017,99,"[1695.1062893880405, 1909.1042136485414]","[114.32049441083505, 30.51382116358874]",90.47,231793617#2,231793617#2_0,1571.35,16.9,()
2023-03-02 17:00:53.007,99,"[1687.8007127942983, 1885.0575487907818]","[114.32042430173081, 30.51360284210699]",88.92,:6102775862_3,:6102775862_3_0,1546.22,16.9,()
2023-03-02 17:00:52.997,99,"[1680.623070024491, 1861.4248177744382]","[114.32035542240736, 30.51338827920317]",85.09,231793617#1,231793617#1_0,1521.52,16.89,()
2023-03-02 17:00:52.987,99,"[1673.7516471832785, 1838.8105604999528]","[114.32028947940454, 30.51318296239142]",78.34,231793617#1,231793617#1_0,1497.88,16.89,()
2023-03-02 17:00:52.977,99,"[1667.4271667710332, 1817.9886296192933]","[114.32022878736653, 30.51299391874782]",72.23,:1734799682_7,:1734799682_7_0,1476.12,16.91,()
2023-03-02 17:00:52.967,99,"[1661.6513585879734, 1798.7754370632483]","[114.32017340967042, 30.512819493785344]",63.64,231793617#0,231793617#0_0,1456.06,13.36,()
2023-03-02 17:00:52.958,99,"[1657.5657273214995, 1781.5769394987385]","[114.32013512987454, 30.512663591335013]",58.22,231793617#0,231793617#0_0,1438.38,13.36,()
2023-03-02 17:00:52.949,99,"[1653.8281410215573, 1765.8435400105902]","[114.32010011113184, 30.5125209698279]",51.26,231793617#0,231793617#0_0,1422.21,13.36,()
2023-03-02 17:00:52.939,99,"[1650.5370123284454, 1751.9895073969658]","[114.32006927547704, 30.512395384566315]",45.51,231793617#0,231793617#0_0,1407.97,13.36,()
2023-03-02 17:00:52.930,99,"[1647.6151252533687, 1739.6898003341084]","[114.32004189942329, 30.512283889088618]",37.18,231793617#0,231793617#0_0,1395.33,13.36,()
2023-03-02 17:00:52.920,99,"[1645.227897662869, 1729.6407466571304]","[114.32001953279709, 30.51219279553097]",32.26,231793617#0,231793617#0_0,1385.0,13.36,()
2023-03-02 17:00:52.911,99,"[1643.2130058200964, 1720.9078144906975]","[114.32000071687975, 30.512113645252278]",26.76,:1734799743_9,:1734799743_9_0,1376.04,10.27,()
2023-03-02 17:00:52.901,99,"[1642.0111174547285, 1713.5727704132971]","[114.31999001912799, 30.51204726970058]",21.87,:1734799743_9,:1734799743_9_0,1368.6,5.35,()
