dateandtime,vehid,coord,gps_coord,spd,edge,lane,displacement,turn_angle,next_tls
2023-03-02 06:44:36.540,25,"[2748.904231237599, 755.1270738364736]","[114.3317497988707, 30.503644372694634]",19.32,:2401390759_5,:2401390759_5_0,624.91,305.32,()
2023-03-02 06:44:36.541,26,"[1628.718652560287, 1339.2795347589167]","[114.31994424011779, 30.508670542833414]",91.51,-161503499#2,-161503499#2_0,410.98,180.74,()
2023-03-02 06:44:36.542,28,"[1525.4946090234928, 1362.420966330739]","[114.31886390619724, 30.508857023524317]",54.91,268005518#1,268005518#1_0,370.5,270.11,()
2023-03-02 06:44:36.542,29,"[168.44024553924953, 683.0277070596485]","[114.30490547446615, 30.502441466454105]",40.63,-231808132#1,-231808132#1_0,466.85,6.47,()
2023-03-02 06:44:36.543,3,"[1565.5774940463402, 2075.603595689834]","[114.31910467573036, 30.515294235235714]",91.92,231793626#1,231793626#1_0,1609.44,277.13,()
2023-03-02 06:44:36.544,30,"[2251.8097384365, 2120.7021160461245]","[114.3262380230673, 30.515847632089216]",92.27,134626495,134626495_0,467.94,247.6,()
2023-03-02 06:44:36.544,31,"[1341.418028101244, 2186.1205850704755]","[114.31674354299427, 30.516242369507072]",57.13,161503546,161503546_0,228.59,181.15,()
2023-03-02 06:44:36.545,32,"[2866.77567742619, 2520.949418905542]","[114.33254202187491, 30.51958678807868]",29.19,97049435#1,97049435#1_1,148.14,232.68,()
2023-03-02 06:44:36.546,33,"[1765.7766236603668, 1105.3034837114144]","[114.3214289248914, 30.506590830655046]",30.01,267612556#2,267612556#2_1,172.83,276.94,()
2023-03-02 06:44:36.547,34,"[535.7581092226902, 1451.6832206878837]","[114.30853818647451, 30.509449121522614]",21.03,:4534994886_1,:4534994886_1_0,134.79,271.69,()
2023-03-02 06:44:36.548,35,"[2502.015836745127, 2099.246421289591]","[114.32884827738923, 30.51570768539415]",25.97,:7845563046_0,:7845563046_0_0,73.64,207.39,()
2023-03-02 06:44:36.549,37,"[159.13278023531467, 1174.9729048428605]","[114.30468621227774, 30.50687380443609]",41.34,231808162#1,231808162#1_0,42.32,277.76,()
2023-03-02 06:44:36.550,38,"[1682.916550268745, 1879.9818777259648]","[114.32037470863239, 30.51355604380225]",22.58,-231793617#1,-231793617#1_0,12.99,196.63,()
2023-03-02 06:44:36.551,39,"[1484.652791461412, 1478.4565599343184]","[114.31841000110192, 30.509894214254366]",0.0,-268013267,-268013267_0,0.0,271.98,()
2023-03-02 06:44:36.552,4,"[1089.809947327547, 1953.1915182060015]","[114.31418176583226, 30.514088758757897]",98.94,231793623#2,231793623#2_0,2199.45,358.01,"(('838310065', 0, 965.0832745759242, 'y'),)"
2023-03-02 06:44:36.553,5,"[2637.7178551713782, 2341.04494994771]","[114.33020149773941, 30.51791624415689]",21.14,-134626495,-134626495_0,1464.27,54.31,()
2023-03-02 06:44:36.554,7,"[565.388556710429, 2070.937682694246]","[114.30869279122686, 30.515037402418475]",53.9,-231793625#0,-231793625#0_0,1589.9,2.98,()
2023-03-02 06:44:36.555,9,"[2372.12416947955, 1604.9096946210232]","[114.3276179149493, 30.5112239638947]",84.4,779834474,779834474_0,1562.61,103.69,()
2023-03-02 06:44:36.558,0,"[1633.7248162743706, 1521.6591130052855]","[114.31995123567889, 30.510315585009387]",27.66,161503499#5,161503499#5_0,1924.02,0.56,()
2023-03-02 06:44:36.558,10,"[2187.3064605844593, 1646.056232011146]","[114.3256836631324, 30.511555366802018]",53.36,725894817#2,725894817#2_1,1517.12,100.02,()
2023-03-02 06:44:36.559,11,"[2165.685359532079, 2084.418356388282]","[114.32535032164816, 30.515502156708806]",82.01,134626495,134626495_0,1152.65,247.23,()
2023-03-02 06:44:36.560,12,"[2829.731256997029, 2484.6615663277316]","[114.33216526674688, 30.519251785430836]",27.05,-97049435#1,-97049435#1_0,1226.73,52.68,()
2023-03-02 06:44:36.561,14,"[2741.0870209797663, 2260.3016617491694]","[114.3312976251751, 30.51721047778608]",36.91,231521461#3,231521461#3_2,713.12,318.59,()
2023-03-02 06:44:36.561,15,"[1106.6550672571075, 1438.6109199701225]","[114.31448472237048, 30.509453967775805]",25.92,:2733773947_10,:2733773947_10_0,922.28,128.52,()
2023-03-02 06:44:36.562,16,"[1478.4588035712295, 1712.6284953938155]","[114.31828754488572, 30.512003709485363]",86.96,231793627#3,231793627#3_0,1151.51,89.37,()
2023-03-02 06:44:36.563,17,"[2519.4977496372594, 838.6236033655724]","[114.32934110013215, 30.5043480775159]",93.85,236668173#1,236668173#1_0,993.15,289.96,()
2023-03-02 06:44:36.563,18,"[1152.5367858846612, 1135.9533488787072]","[114.31503738509446, 30.506735670173597]",73.42,267612556#9,267612556#9_1,681.22,271.56,()
2023-03-02 06:44:36.564,19,"[3014.4907497182107, 1227.751713329559]","[114.33439827917172, 30.507961268021543]",43.26,-98584143#1,-98584143#1_0,1034.78,289.26,()
2023-03-02 06:44:36.565,2,"[2193.806900838002, 1883.8736292704623]","[114.32569262050737, 30.513700451851797]",48.18,279360273#3,279360273#3_0,1716.76,13.35,()
2023-03-02 06:44:36.566,20,"[2089.3710930543857, 1989.2206667364512]","[114.32457931506472, 30.514627722051596]",49.53,279360278#1,279360278#1_0,672.84,227.86,"(('838310065', 0, 2006.3753713678934, 'y'),)"
2023-03-02 06:44:36.566,21,"[545.4276471354463, 1680.425191985639]","[114.30858201756352, 30.51151306258861]",97.76,457336155#5,457336155#5_0,880.48,0.62,()
2023-03-02 06:44:36.567,22,"[1629.9381366120767, 1460.1273717527808]","[114.31992703765131, 30.509760126676483]",97.19,-161503499#3,-161503499#3_0,673.86,180.54,()
2023-03-02 06:44:36.568,23,"[1094.642298614941, 1639.2386273428426]","[114.31430992235461, 30.511259839034373]",87.59,:2751749681_7,:2751749681_7_0,1036.18,178.05,()
2023-03-02 06:44:36.569,24,"[516.6730894057035, 720.3060088482933]","[114.3085212010086, 30.502852439463425]",79.88,457336152#1,457336152#1_0,440.47,343.07,()
2023-03-02 06:44:36.569,25,"[2748.4738690733893, 760.7438055465817]","[114.33174393563904, 30.50369491068771]",20.92,:2401390759_5,:2401390759_5_0,630.72,359.92,()
2023-03-02 06:44:36.570,26,"[1628.4052631650788, 1314.8604530066832]","[114.3199470187309, 30.508450362033322]",87.91,-161503499#2,-161503499#2_0,435.4,180.74,()
2023-03-02 06:44:36.571,28,"[1510.6078714596915, 1362.4494304561001]","[114.31870892160283, 30.5088540898176]",53.59,268005518#1,268005518#1_0,385.38,270.11,()
2023-03-02 06:44:36.572,29,"[169.9438109536422, 696.2950305122031]","[114.30491782619849, 30.502561380601502]",48.07,-231808132#1,-231808132#1_0,480.2,6.47,()
2023-03-02 06:44:36.572,3,"[1538.3948236166157, 2079.002667320072]","[114.31882083188988, 30.51531904835043]",98.62,231793626#1,231793626#1_0,1636.84,277.13,()
2023-03-02 06:44:36.573,30,"[2227.952674537029, 2110.644480160084]","[114.32599212448241, 30.51575187244011]",93.21,134626495,134626495_0,493.83,247.14,()
2023-03-02 06:44:36.574,31,"[1341.1080132868474, 2170.6308834538204]","[114.31674415316074, 30.5161026793223]",55.77,161503546,161503546_0,244.09,181.15,()
2023-03-02 06:44:36.575,32,"[2860.9251275504753, 2516.4893779176036]","[114.33248220638899, 30.519545337137707]",26.49,97049435#1,97049435#1_1,155.5,232.68,()
2023-03-02 06:44:36.576,33,"[1755.4615152162262, 1106.559398163782]","[114.32132123177153, 30.50659994320244]",37.39,267612556#2,267612556#2_1,183.22,276.94,()
2023-03-02 06:44:36.577,34,"[529.8490732197439, 1451.8573084489133]","[114.30847662767798, 30.509449419533773]",21.29,:4534994886_1,:4534994886_1_0,140.7,271.69,()
2023-03-02 06:44:36.578,35,"[2500.1135354406374, 2092.981174558488]","[114.32883001732328, 30.51565080386923]",34.67,840813158,840813158_0,83.27,195.41,()
2023-03-02 06:44:36.578,37,"[145.67501827990725, 1176.8058679371834]","[114.3045456594383, 30.506887427456235]",48.95,231808162#1,231808162#1_0,55.92,277.76,()
2023-03-02 06:44:36.579,38,"[1680.6833162193595, 1872.6286516602556]","[114.32035327775192, 30.513489283455673]",27.67,-231793617#1,-231793617#1_0,20.67,196.89,()
2023-03-02 06:44:36.580,39,"[1483.3147441633237, 1478.5029079581982]","[114.31839605981818, 30.509894345236795]",4.82,-268013267,-268013267_0,1.34,271.98,()
2023-03-02 06:44:36.581,4,"[1087.9981108560469, 1981.2277419934803]","[114.3141559503533, 30.514341086924766]",101.17,231793623#2,231793623#2_0,2227.55,355.39,"(('838310065', 0, 936.9813230567545, 'y'),)"
2023-03-02 06:44:36.582,5,"[2644.5766573743103, 2344.583893332209]","[114.33027203574116, 30.517949608410078]",28.0,:1144975815_4,:1144975815_4_0,1472.05,67.08,()
2023-03-02 06:44:36.583,7,"[565.9447246048561, 2081.6371136958664]","[114.30869592273444, 30.515133965789392]",38.57,-231793625#0,-231793625#0_0,1600.61,2.98,()
2023-03-02 06:44:36.584,9,"[2394.6563982288403, 1599.4224119854937]","[114.3278538465278, 30.511179314184165]",83.49,779834474,779834474_0,1585.8,103.69,()
2023-03-02 06:44:36.587,0,"[1632.1854620764439, 1524.8167855046304]","[114.31993442881662, 30.510343718508707]",13.93,:2733822608_5,:2733822608_5_0,1927.89,340.4,()
2023-03-02 06:44:36.588,10,"[2201.7041079748337, 1642.4639968049016]","[114.3258344408868, 30.511526063938415]",53.37,725894817#2,725894817#2_1,1531.95,104.01,()
2023-03-02 06:44:36.589,11,"[2145.4650634361055, 2075.932269748872]","[114.32514189987062, 30.515421339157417]",78.94,134626495,134626495_0,1174.57,247.23,()
2023-03-02 06:44:36.589,12,"[2836.378437963377, 2489.7289019105315]","[114.33223322656058, 30.519298880619584]",30.09,-97049435#1,-97049435#1_0,1235.09,52.68,()
2023-03-02 06:44:36.590,14,"[2733.8881236303478, 2268.4642328112923]","[114.33122066270771, 30.51728251984887]",39.18,231521461#3,231521461#3_2,724.0,318.59,()
2023-03-02 06:44:36.591,15,"[1113.2821592544783, 1437.8904964359333]","[114.3145538921156, 30.509448896399498]",24.05,268005507#0,268005507#0_0,928.96,95.12,()
2023-03-02 06:44:36.592,16,"[1501.9487057610609, 1712.888014775973]","[114.31853202876312, 30.512011083935487]",84.54,:2733822563_7,:2733822563_7_0,1174.99,89.36,()
2023-03-02 06:44:36.592,17,"[2495.306199503198, 847.4095892351569]","[114.32908709899506, 30.504422111559112]",92.66,236668173#1,236668173#1_0,1018.89,289.96,()
2023-03-02 06:44:36.593,18,"[1136.6501527995663, 1136.3858462457974]","[114.31487189510759, 30.506736159478663]",57.22,267612556#9,267612556#9_1,697.11,271.56,()
2023-03-02 06:44:36.593,19,"[3007.3948791315615, 1230.231606175065]","[114.33432379753638, 30.507982110243308]",27.06,-98584143#1,-98584143#1_0,1042.3,289.26,()
2023-03-02 06:44:36.594,2,"[2196.8349949895023, 1896.6309963326235]","[114.32572099610671, 30.513816094595516]",47.21,279360273#3,279360273#3_0,1729.88,13.35,()
2023-03-02 06:44:36.595,20,"[2079.712438381546, 1980.4807666530196]","[114.32448091682753, 30.514546874542617]",46.89,279360278#1,279360278#1_0,685.87,227.85,"(('838310065', 0, 1993.349616876244, 'y'),)"
2023-03-02 06:44:36.596,21,"[545.7191032048627, 1707.476478885614]","[114.30857833030778, 30.51175696327257]",97.38,457336155#5,457336155#5_0,907.53,0.62,()
2023-03-02 06:44:36.597,22,"[1629.6898966394504, 1434.0302229473646]","[114.3199309099307, 30.50952483377125]",93.95,-161503499#3,-161503499#3_0,699.96,180.54,()
2023-03-02 06:44:36.598,23,"[1095.5075537112643, 1615.3717688135425]","[114.31432484773764, 30.51104488993505]",86.02,:2733773952_6,:2733773952_6_0,1060.08,177.9,()
2023-03-02 06:44:36.598,24,"[510.2013969414686, 741.5605532751958]","[114.30844855292837, 30.50304263435541]",80.08,457336152#1,457336152#1_0,462.71,343.07,()
2023-03-02 06:44:36.599,25,"[2749.783526766592, 765.7502699527935]","[114.3317563363064, 30.50374031870695]",18.65,-268000578#3,-268000578#3_0,635.9,14.89,()
2023-03-02 06:44:36.600,26,"[1628.0877720677443, 1290.1217695031446]","[114.31994983365807, 30.508227299455974]",89.06,-161503499#2,-161503499#2_0,460.14,180.74,()
2023-03-02 06:44:36.601,28,"[1494.9249011855072, 1362.4794170149416]","[114.31854564752136, 30.508850998999467]",56.46,268005518#1,268005518#1_0,401.07,270.11,()
2023-03-02 06:44:36.601,29,"[171.6164488776691, 711.0542342985159]","[114.304931566877, 30.502694778820377]",53.47,-231808132#1,-231808132#1_0,495.05,6.47,()
2023-03-02 06:44:36.602,3,"[1509.1516579667814, 2081.80095114641]","[114.31851568461397, 30.51533800364748]",105.78,231793626#1,231793626#1_0,1666.22,274.53,()
2023-03-02 06:44:36.603,30,"[2203.8502105292428, 2100.4833887546965]","[114.32574369703931, 30.515655127337656]",94.16,134626495,134626495_0,519.99,247.14,()
2023-03-02 06:44:36.604,31,"[1340.8083396404063, 2155.657872003446]","[114.31674474295713, 30.515967648782098]",53.91,161503546,161503546_0,259.06,181.15,()
2023-03-02 06:44:36.605,32,"[2854.3412283996263, 2511.4702838671233]","[114.332414893269, 30.51949869041323]",29.81,97049435#1,97049435#1_1,163.78,232.68,()
2023-03-02 06:44:36.606,33,"[1743.2812706856796, 1108.0424019753389]","[114.3211940660015, 30.506610703327414]",44.15,267612556#2,267612556#2_1,195.48,276.94,()
2023-03-02 06:44:36.606,34,"[527.2386189293743, 1448.2492839406157]","[114.30845034821492, 30.509416335510572]",19.86,:2751749780_3,:2751749780_3_0,146.22,210.03,()
2023-03-02 06:44:36.607,35,"[2496.8976879207603, 2081.311904330111]","[114.32879941450244, 30.515544929657064]",43.57,840813158,840813158_0,95.37,195.41,()
2023-03-02 06:44:36.608,37,"[130.61191908256708, 1178.8574798624302]","[114.30438834042745, 30.506902675343905]",54.78,231808162#1,231808162#1_0,71.13,277.76,()
2023-03-02 06:44:36.609,38,"[1677.726360461857, 1862.892473691269]","[114.32032490182954, 30.513400888153125]",36.63,-231793617#1,-231793617#1_0,30.85,196.89,()
2023-03-02 06:44:36.609,39,"[1480.3236278987504, 1478.6065159010975]","[114.3183648950005, 30.509894638033956]",10.77,-268013267,-268013267_0,4.33,271.98,()
2023-03-02 06:44:36.610,4,"[1085.7895599631477, 2008.5932413108978]","[114.31412617082238, 30.514587284012777]",98.84,231793623#2,231793623#2_0,2255.0,355.39,"(('838310065', 0, 909.5263254312704, 'y'),)"
2023-03-02 06:44:36.611,5,"[2652.343169210461, 2348.3235647292577]","[114.33035197494125, 30.51798497574278]",31.33,:1144975815_4,:1144975815_4_0,1480.75,59.1,()
2023-03-02 06:44:36.612,7,"[567.7961338645207, 2087.321029079267]","[114.30871378538073, 30.51518559842148]",22.37,:1734799703_8,:1734799703_8_0,1606.83,21.8,()
2023-03-02 06:44:36.613,9,"[2417.3845701170426, 1593.8874112393564]","[114.32809182961124, 30.511134275747434]",84.21,779834474,779834474_0,1609.2,103.69,()
2023-03-02 06:44:36.618,0,"[1630.5254637760418, 1521.7585834218842]","[114.31991790385926, 30.510315796266735]",13.9,-161503499#5,-161503499#5_0,1931.75,226.6,()
2023-03-02 06:44:36.619,10,"[2216.061129639442, 1638.8818977798276]","[114.32598479311565, 30.511496843579025]",53.22,725894817#2,725894817#2_1,1546.73,104.01,()
2023-03-02 06:44:36.620,11,"[2124.900366902067, 2067.3016445753974]","[114.32492992854318, 30.515339144765754]",80.29,134626495,134626495_0,1196.88,247.23,()
2023-03-02 06:44:36.621,12,"[2843.108880981645, 2494.8597105295744]","[114.33230203770131, 30.51934656568633]",30.47,-97049435#1,-97049435#1_0,1243.56,52.68,()
2023-03-02 06:44:36.622,14,"[2726.824757594651, 2276.4731297861617]","[114.33114514907672, 30.517353205547558]",38.44,231521461#3,231521461#3_2,734.68,318.59,()
2023-03-02 06:44:36.622,15,"[1121.7840474342554, 1437.620862717645]","[114.31464246762123, 30.50944829079297]",30.62,268005507#0,268005507#0_0,937.47,91.82,()
2023-03-02 06:44:36.623,16,"[1525.7782396625316, 1713.1537737802296]","[114.3187800470007, 30.512018586963645]",85.78,231793627#4,231793627#4_0,1198.82,89.36,()
2023-03-02 06:44:36.624,17,"[2471.530259782619, 856.1012161436635]","[114.32883744730151, 30.504495383246198]",91.15,236668173#2,236668173#2_0,1044.21,290.2,()
2023-03-02 06:44:36.625,18,"[1125.2616642994083, 1136.6958862187153]","[114.31475326199913, 30.50673651011223]",41.02,267612556#9,267612556#9_1,708.51,271.56,()
2023-03-02 06:44:36.626,19,"[3001.8634807374933, 1232.4988129534127]","[114.33426565512171, 30.508001368575624]",21.57,:1125840591_5,:1125840591_5_0,1048.29,292.89,()
2023-03-02 06:44:36.627,2,"[2200.0010426176864, 1909.9695616837105]","[114.32575066449836, 30.513937005770345]",49.36,279360273#3,279360273#3_0,1743.59,13.35,()
2023-03-02 06:44:36.628,20,"[2070.958512693154, 1970.695477570616]","[114.32439219622334, 30.514456797316914]",47.31,279360278#1,279360278#1_0,699.01,220.73,"(('838310065', 0, 1980.2071673764935, 'r'),)"
2023-03-02 06:44:36.629,21,"[543.4655002629431, 1735.0119364975983]","[114.30854802685397, 30.51200468067549]",100.22,:1734799582_9,:1734799582_9_0,935.36,346.77,()
2023-03-02 06:44:36.629,22,"[1629.4358044820506, 1407.3178414892432]","[114.31993487343205, 30.50928399389547]",96.16,-161503499#3,-161503499#3_0,726.67,180.54,()
2023-03-02 06:44:36.631,23,"[1096.3580264899465, 1590.9190370013014]","[114.31433976438187, 30.510824656613213]",88.06,-70203362#12,-70203362#12_0,1084.54,178.05,()
2023-03-02 06:44:36.632,24,"[503.6246607027974, 763.1600859077131]","[114.30837472536064, 30.50323591628771]",81.38,457336152#1,457336152#1_0,485.32,343.07,()
2023-03-02 06:44:36.633,25,"[2751.7720308681874, 773.1830280024482]","[114.3317752062959, 30.50380774232412]",27.72,-268000578#3,-268000578#3_0,643.6,14.98,()
2023-03-02 06:44:36.633,26,"[1627.7684485002237, 1265.2403012086638]","[114.31995266477847, 30.508002949415857]",89.58,-161503499#2,-161503499#2_0,485.02,180.74,()
2023-03-02 06:44:36.634,28,"[1480.0552677711294, 1362.5078484363842]","[114.31839084104595, 30.508848068286053]",53.53,268005518#1,268005518#1_0,415.93,270.11,()
2023-03-02 06:44:36.635,29,"[173.52345218096974, 727.881456717834]","[114.30494723288945, 30.502846868425106]",60.96,-231808132#1,-231808132#1_0,511.99,6.47,()
2023-03-02 06:44:36.635,3,"[1479.9758155975603, 2084.112950572339]","[114.31821135860159, 30.515352589297176]",105.35,:2401209144_0,:2401209144_0_0,1695.48,274.54,()
2023-03-02 06:44:36.636,30,"[2180.0734098851544, 2090.459590167373]","[114.32549862676593, 30.515559688980986]",92.89,134626495,134626495_0,545.79,247.14,()
2023-03-02 06:44:36.637,31,"[1340.4934552669345, 2139.9248658297997]","[114.31674536267246, 30.515825764407563]",56.65,161503546,161503546_0,274.8,181.15,()
2023-03-02 06:44:36.638,32,"[2846.4501657018873, 2509.478758147759]","[114.33233322456836, 30.519479055595713]",26.94,97049435#1,97049435#1_0,171.26,232.68,()
2023-03-02 06:44:36.639,33,"[1729.6645524681126, 1109.7003034211516]","[114.32105190295074, 30.50662273229557]",49.36,267612556#2,267612556#2_1,209.19,276.94,()
2023-03-02 06:44:36.640,34,"[526.9587454720763, 1442.9274289121854]","[114.30844875689782, 30.5093683045443]",19.19,236669232#4,236669232#4_1,151.55,182.96,()
2023-03-02 06:44:36.641,35,"[2493.2805776358578, 2068.186581347763]","[114.32876499323251, 30.51542584480688]",49.01,840813158,840813158_0,108.99,195.41,()
2023-03-02 06:44:36.641,37,"[113.99768905064765, 1181.1203576418118]","[114.30421482136623, 30.506919493167093]",60.43,231808162#1,231808162#1_0,87.92,277.76,()
2023-03-02 06:44:36.642,38,"[1674.310769054294, 1851.6461756264446]","[114.32029212474495, 30.513298782380833]",42.32,-231793617#1,-231793617#1_0,42.6,196.89,()
2023-03-02 06:44:36.643,39,"[1475.7351350244498, 1478.7654546602976]","[114.31831708691519, 30.509895087182063]",16.53,-268013267,-268013267_0,8.92,271.98,()
2023-03-02 06:44:36.644,4,"[1083.5607622785299, 2036.2096126216823]","[114.31409611808704, 30.514835738077235]",99.74,231793623#2,231793623#2_0,2282.71,355.39,"(('838310065', 0, 881.8196353406759, 'r'),)"
2023-03-02 06:44:36.645,40,"[988.9473745259871, 2247.448235556547]","[114.31305868685457, 30.516719512033397]",0.0,231791581#2,231791581#2_0,0.0,77.91,()
2023-03-02 06:44:36.646,5,"[2653.4780665147628, 2353.5059489275227]","[114.3303625133516, 30.518031932327467]",15.65,:5800236063_10,:5800236063_10_1,1485.1,16.7,()
2023-03-02 06:44:36.647,7,"[573.2944579341971, 2088.427225904525]","[114.30877075373334, 30.515196752523295]",21.15,:1734799703_8,:1734799703_8_0,1612.7,84.12,()
2023-03-02 06:44:36.648,9,"[2440.458770807815, 1588.2681419612036]","[114.32833343571612, 30.51108855115676]",85.5,779834474,779834474_0,1632.95,103.69,()
2023-03-02 06:44:36.652,10,"[2229.6216057128763, 1635.498538106983]","[114.32612680354332, 30.51146924423732]",50.27,725894817#2,725894817#2_1,1560.7,104.01,()
2023-03-02 06:44:36.654,11,"[2104.999204285637, 2058.6053802231354]","[114.3247248819779, 30.515256500285552]",78.19,134626495,134626495_0,1218.6,246.32,()
2023-03-02 06:44:36.655,12,"[2849.794389606741, 2499.9562643794807]","[114.33237038950654, 30.519393932361332]",30.27,-97049435#1,-97049435#1_0,1251.96,52.68,()
2023-03-02 06:44:36.656,14,"[2719.7891312700776, 2284.4505736992232]","[114.3310699318984, 30.517423613594072]",38.29,231521461#3,231521461#3_2,745.31,318.59,()
2023-03-02 06:44:36.657,15,"[1132.4319959737759, 1437.2831676202568]","[114.3147534015044, 30.509447532233125]",38.35,268005507#0,268005507#0_0,948.12,91.82,()
2023-03-02 06:44:36.657,16,"[1549.6755035174451, 1713.4205094717402]","[114.31902877019402, 30.512026112840005]",86.04,231793627#4,231793627#4_0,1222.72,89.36,()
2023-03-02 06:44:36.658,17,"[2447.0560653229923, 865.1557007342606]","[114.32858043691967, 30.5045717761834]",93.95,236668173#2,236668173#2_0,1070.3,290.3,()
2023-03-02 06:44:36.659,18,"[1118.406862129686, 1136.3727684093515]","[114.31468198233895, 30.506732126394322]",24.82,:2401208955_3,:2401208955_3_0,715.4,265.68,()
2023-03-02 06:44:36.660,19,"[3001.20450205157, 1237.712327361317]","[114.33425751195342, 30.50804822335913]",21.43,:1125840591_5,:1125840591_5_0,1054.24,0.03,()
2023-03-02 06:44:36.661,2,"[2202.5592606133505, 1920.747339507938]","[114.32577463708701, 30.514034703963652]",39.88,279360273#3,279360273#3_0,1754.66,13.35,()
2023-03-02 06:44:36.662,20,"[2062.2975196826796, 1960.6353704987898]","[114.32430451120408, 30.514364262700678]",47.79,279360278#1,279360278#1_0,712.29,220.73,"(('838310065', 0, 1966.9326365380725, 'r'),)"
2023-03-02 06:44:36.663,21,"[545.2727019196226, 1762.7067464276854]","[114.30855995949389, 30.512254708098116]",99.99,-231793625#1,-231793625#1_0,963.14,4.34,()
2023-03-02 06:44:36.663,22,"[1629.1891810178117, 1381.3906341299655]","[114.31993872036787, 30.509050233171262]",93.34,-161503499#3,-161503499#3_0,752.6,180.54,()
2023-03-02 06:44:36.664,23,"[1097.1673895282415, 1567.1993042256686]","[114.31435407121032, 30.510611021676965]",85.44,-70203362#12,-70203362#12_0,1108.27,178.05,()
2023-03-02 06:44:36.665,24,"[498.22924271881215, 785.000281160472]","[114.3083131349478, 30.503431621578986]",81.52,:4534994796_4,:4534994796_4_0,507.96,349.95,()
2023-03-02 06:44:36.666,25,"[2754.1998435953305, 782.2578619825462]","[114.33179824515291, 30.503890061445745]",33.84,-268000578#3,-268000578#3_0,653.0,14.98,()
2023-03-02 06:44:36.667,26,"[1627.4575282653784, 1241.0136146991538]","[114.31995542134318, 30.507784503373603]",87.22,-161503499#2,-161503499#2_0,509.25,180.74,()
2023-03-02 06:44:36.668,28,"[1464.6799029542203, 1362.5352603706394]","[114.31823076996125, 30.50884501979702]",55.34,:2733796946_0,:2733796946_0_0,431.31,270.09,()
2023-03-02 06:44:36.669,29,"[175.71026914395011, 747.1777292322641]","[114.30496519760526, 30.503021274060348]",69.91,-231808132#1,-231808132#1_0,531.41,6.47,()
2023-03-02 06:44:36.671,3,"[1451.2022356013852, 2086.395806092683]","[114.31791122777793, 30.515366997778116]",103.91,231793626#2,231793626#2_0,1724.35,274.54,()
2023-03-02 06:44:36.672,30,"[2156.322366213404, 2080.4888801763923]","[114.32525381205095, 30.515464734239828]",92.73,134626495,134626495_0,571.55,247.23,()
2023-03-02 06:44:36.672,31,"[1340.1726340815087, 2123.8952304582917]","[114.31674599405315, 30.51568120495021]",57.72,161503546,161503546_0,290.83,181.15,()
2023-03-02 06:44:36.673,32,"[2840.5708422129455, 2504.996237226685]","[114.33227311519762, 30.51943739579418]",26.62,97049435#1,97049435#1_0,178.66,232.68,()
2023-03-02 06:44:36.674,33,"[1713.5343226360226, 1111.664738079717]","[114.32088349785228, 30.506636986004608]",58.47,267612556#2,267612556#2_1,225.43,276.95,()
2023-03-02 06:44:36.675,34,"[526.5467932868777, 1435.4578465585398]","[114.30844632421586, 30.509300885728607]",26.93,236669232#4,236669232#4_1,159.03,183.16,()
2023-03-02 06:44:36.676,35,"[2490.926359198709, 2057.812404902939]","[114.32874304170947, 30.51533182863575]",38.4,840813157,840813157_0,119.65,189.8,()
2023-03-02 06:44:36.677,37,"[95.63926599529086, 1183.620796573778]","[114.30402308590017, 30.50693807628361]",66.77,231808162#1,231808162#1_0,106.47,277.76,()
2023-03-02 06:44:36.678,38,"[1670.4839038257685, 1839.0563658695564]","[114.32025539838207, 30.51318447808998]",47.38,-231793617#1,-231793617#1_0,55.76,196.89,()
2023-03-02 06:44:36.679,39,"[1469.646796125499, 1478.9763459173396]","[114.31825365174664, 30.50989568311659]",21.93,-268013267,-268013267_0,15.01,271.98,()
2023-03-02 06:44:36.680,4,"[1081.4067883257605, 2064.481454692708]","[114.31406668158667, 30.515090116564146]",102.08,231793623#2,231793623#2_0,2311.07,356.85,"(('838310065', 0, 853.4627739090793, 'r'),)"
2023-03-02 06:44:36.681,40,"[990.3894622744209, 2247.7571133840515]","[114.3130736241312, 30.516722606015062]",5.31,231791581#2,231791581#2_0,1.47,77.91,()
2023-03-02 06:44:36.682,5,"[2653.625847125212, 2358.1693132119985]","[114.33036290233171, 30.518073999744775]",18.54,:1144975763_11,:1144975763_11_0,1490.25,0.46,()
2023-03-02 06:44:36.683,7,"[579.2675116048691, 2087.2118810254424]","[114.30883324139498, 30.515187082563006]",21.97,161503509#0,161503509#0_0,1618.81,102.32,()
2023-03-02 06:44:36.683,9,"[2463.2178814467325, 1582.7256066887905]","[114.32857174237684, 30.511043450505973]",84.33,779834474,779834474_0,1656.37,103.69,()
2023-03-02 06:44:36.686,10,"[2243.465798985094, 1632.0443905559214]","[114.32627178509377, 30.511441067287276]",51.32,725894817#2,725894817#2_1,1574.95,104.01,()
2023-03-02 06:44:36.687,11,"[2084.423741542519, 2049.5833536498876]","[114.32451289600493, 30.515170774849093]",80.88,134626495,134626495_0,1241.06,246.32,()
2023-03-02 06:44:36.687,12,"[2856.6678944707783, 2505.1961331226994]","[114.33244066343211, 30.5194426309517]",31.12,-97049435#1,-97049435#1_0,1260.61,52.68,()
2023-03-02 06:44:36.688,14,"[2712.712409637771, 2292.4746141052487]","[114.33099427526409, 30.51749443284511]",38.51,231521461#3,231521461#3_2,756.01,318.59,()
