dateandtime,vehid,coord,gps_coord,spd,edge,lane,displacement,turn_angle,next_tls
2023-03-02 06:44:34.267,3,"[2562.4080104594595, 2349.9813553656113]","[114.32941520525942, 30.517980720290595]",19.29,417713712,417713712_0,10.98,216.18,()
2023-03-02 06:44:34.268,4,"[2714.561190695402, 1328.8760942398678]","[114.33125096119315, 30.508808874274514]",0.0,-725894815#0,-725894815#0_0,0.0,21.16,"(('838310065', 0, 2794.6399999999994, 'G'),)"
2023-03-02 06:44:34.269,0,"[1006.2288657757975, 484.10299786135556]","[114.31367590828646, 30.500828510600368]",49.32,231808124,231808124_0,143.81,323.47,()
2023-03-02 06:44:34.270,1,"[2317.4945416444652, 863.7945387869664]","[114.32723202893122, 30.504531838953532]",44.0,-268599172#1,-268599172#1_0,96.6,13.03,()
2023-03-02 06:44:34.271,2,"[1311.3337002810727, 1131.6328296888753]","[114.3166915620485, 30.50673079080824]",28.84,267612556#7,267612556#7_1,56.5,271.56,()
2023-03-02 06:44:34.272,3,"[2558.408650788014, 2344.5129266743343]","[114.32937491450284, 30.517930573631777]",24.39,417713712,417713712_0,17.76,216.18,()
2023-03-02 06:44:34.273,4,"[2715.1800206971743, 1330.4746325195997]","[114.33125700974645, 30.508823415636826]",6.17,-725894815#0,-725894815#0_0,1.71,21.16,"(('838310065', 0, 2792.9258739092475, 'G'),)"
2023-03-02 06:44:34.274,0,"[998.1785518266089, 494.9706596951268]","[114.31358941404392, 30.50092474322238]",48.69,231808124,231808124_0,157.34,323.47,()
2023-03-02 06:44:34.275,1,"[2320.1685017676296, 875.3561861194535]","[114.32725701297626, 30.504636627521563]",42.72,:2739341906_7,:2739341906_7_0,108.47,13.01,()
2023-03-02 06:44:34.275,2,"[1307.8237966394067, 1131.7281669805077]","[114.3166549996377, 30.506730897446364]",12.64,267612556#7,267612556#7_1,60.02,271.56,()
2023-03-02 06:44:34.276,3,"[2552.891409373325, 2336.9690587236223]","[114.32931933221364, 30.517861394734723]",33.65,417713712,417713712_0,27.1,216.18,()
2023-03-02 06:44:34.277,4,"[2716.709397123016, 1334.4252599194135]","[114.33127195814778, 30.508859353157828]",15.25,-725894815#0,-725894815#0_0,5.95,21.16,"(('838310065', 0, 2788.6895828008505, 'G'),)"
